id;standort;anzahl_ladepunkte;ladesaeule_status;adresse;koordinaten;typ;ladepunkt;stecker;status;authmethod_1;authmethod_2;the_geom;coordinate_reference_system
APP_STROMNETZ_EMOBILITY_8556409;444;2;frei;Sodenkamp 8;N53.630415 E10.050060;;+49 8003006070;;unbekannt;unbekannt;;POINT (569438.034943 5942915.106088);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556410;444;2;frei;Sodenkamp 8;N53.630415 E10.050060;;+49 8003006070;;unbekannt;unbekannt;;POINT (569438.034943 5942915.106088);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556411;445;2;belegt;Langenfelder Damm 2;N53.578060 E9.941546;;+49 8003006070;;unbekannt;unbekannt;;POINT (562339.507858 5936990.253251);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556412;445;2;belegt;Langenfelder Damm 2;N53.578060 E9.941546;;+49 8003006070;;unbekannt;unbekannt;;POINT (562339.507858 5936990.253251);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556413;446;2;teilweise belegt;Grindelhof 58;N53.569810 E9.984590;;+49 8003006070;;unbekannt;unbekannt;;POINT (565202.050320 5936111.008786);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556414;446;2;teilweise belegt;Grindelhof 58;N53.569810 E9.984590;;+49 8003006070;;unbekannt;unbekannt;;POINT (565202.050320 5936111.008786);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556415;447;2;belegt;Neumühlen 3;N53.544729 E9.925936;;+49 8003006070;;unbekannt;unbekannt;;POINT (561354.213137 5933268.691170);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556416;447;2;belegt;Neumühlen 3;N53.544729 E9.925936;;+49 8003006070;;unbekannt;unbekannt;;POINT (561354.213137 5933268.691170);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556417;448;2;teilweise belegt;Schlüterstraße 50;N53.567931 E9.986486;;+49 8003006070;;unbekannt;unbekannt;;POINT (565330.500576 5935903.712355);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556418;448;2;teilweise belegt;Schlüterstraße 50;N53.567931 E9.986486;;+49 8003006070;;unbekannt;unbekannt;;POINT (565330.500576 5935903.712355);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556419;449;2;teilweise belegt;Bogenstraße 13;N53.572207 E9.976104;;+49 8003006070;;unbekannt;unbekannt;;POINT (564636.446362 5936369.932703);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556420;449;2;teilweise belegt;Bogenstraße 13;N53.572207 E9.976104;;+49 8003006070;;unbekannt;unbekannt;;POINT (564636.446362 5936369.932703);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556421;450;2;frei;Billstedter Hauptstraße 54;N53.539705 E10.103130;;+49 8003006070;;unbekannt;unbekannt;;POINT (573103.676398 5932877.022767);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556422;450;2;frei;Billstedter Hauptstraße 54;N53.539705 E10.103130;;+49 8003006070;;unbekannt;unbekannt;;POINT (573103.676398 5932877.022767);EPSG:25832
