standort_id,breitengrad,laengengrad,adress_id
29657,48.412246,9.950311,25071
21146,48.432964,9.968503,18422
14260,48.380993,10.003935,12489
2921,48.411819,10.010585,2481
2925,48.396012,9.981099,2485
2924,48.442429,9.986174,2484
2923,48.426006,9.959359,2483
21150,48.334934,9.936243,18426
2922,48.430161,10.018084,2482
14262,48.384869,9.985758,12491
2934,48.381855,9.896588,2493
2920,48.365711,9.941517,2480
29656,48.397133,9.990754,25070
21145,48.423115,9.937294,18421
21144,48.401062,9.949341,18420
29648,48.400433,9.988198,25065
29653,48.401619,10.002496,25069
4024,48.409847,9.940684,3351
29652,48.422408,9.946819,25068
21148,48.397537,9.996298,18424
29649,48.407639,9.955866,25066
21149,48.408246,9.996421,18425
29650,48.35284,9.973028,25067
15213,51.58882,13.781308,13338
9958,51.221281,6.817628,8722
12036,52.432283,8.6237,10681
27830,50.954149,6.641702,23603
9471,51.195248,6.553774,8254
3062,50.3218678,11.9181313,2614
21320,48.538174,12.1496666,18571
5878,49.918611,7.067778,4996
9559,50.766771,6.108558,8339
33983,49.98505,6.890995,28530
32586,50.772294,6.087023,27340
13799,48.45279,10.27779,12141
25098,52.516139,13.479989,21411
25064,52.522941,13.380744,21379
7799,47.77877,10.61347,6666
14921,52.486137,13.424028,13079
8388,52.471539,13.45612,7234
9373,51.670278,6.969167,8159
15813,51.659025,6.96582,13868
34192,49.60599778,6.573154153,28716
13332,50.308347,9.790556,11792
32466,51.43481,6.76923,27237
22381,49.229307,9.167214,19196
23221,53.05796,9.16842,19929
26344,50.074343,8.442739,22442
6086,49.700677,6.574636,5198
33876,49.75636,6.636128,11134
32589,50.768659,6.078208,27343
16929,51.40772,6.77819,14890
31545,50.619296,6.651474,26397
1347,52.309167,7.159722,1149
5604,51.4740923,6.8605874,4740
25232,52.469967,13.339781,21527
15030,52.541991,13.543875,13180
25234,52.475014,13.32351,21529
14880,52.488664,13.341212,13053
25207,52.477733,13.447633,21503
8345,52.505073,13.343569,7198
22502,49.13763,8.59114,19301
15000,52.441069,13.459505,13154
8517,52.569627,13.566712,7357
24891,49.867772,10.328343,21228
18706,51.27721,8.87097,16478
18699,51.37657,9.01037,16473
27046,52.469367,8.375487,22970
28776,51.22309,10.47214,24421
18671,51.132046,9.269693,16447
6096,49.606971,6.556778,5208
26532,51.12064,9.1214,22617
