betreiber_id,betreiber
4645,Stadtverwaltung Markkleeberg
110,Chargemaker GmbH
3162,Duktus (Production) GmbH
150,Comfort Charge
4396,Tien Direkt
4486,Euskirchener Baugesellschaft mbH
482,Albwerk GmbH & Co. KG
1527,Elektrizitätswerk Tegernsee
2701,Hotel zum Kramerwirt
2263,Dortmunder Energie- und Wasserversorgung GmbH
732,Stadtwerke Hattingen GmbH
1972,Prange Green Management GmbH
1683,Autohaus A. Gruber OHG
3232,U.Giebel
1986,Stadtwerke Wülfrath GmbH
2232,Stadtwerke Meiningen GmbH
2038,Stadtwerke Haldensleben GmbH
355,Energieversorgung Dahlenburg-Bleckede AG
1006,Stadtwerke Oberkirch GmbH
4581,Volksbank Hellweg eG
2,Pfalzwerke AG
381,Stadtwerke Versmold GmbH
3532,Gemeinde Altdorf
3051,Stadtwerke Leinefelde-Worbis GmbH
2979,Köthen Energie GmbH
85,enwag energie- und wassergesellschaft mbH
223,Kleinhans GbR
2053,Stadtwerke Wernigerode GmbH
1596,Allgäuer Überlandwerk GmbH
2176,World of Energy GmbH
367,Stadtwerke Leine - Solling GmbH
4260,LINDIG Fördertechnik GmbH
1446,Johann Garhammer OHG
1762,E.DIS AG
1550,W.L.Gore&Associates GmbH
1498,LKW Kitzingen GmbH
899,dm-Vermögensverwaltungsgesellschaft mbH
3645,Gemeinde Ötigheim
2213,Stadtwerke Sondershausen GmbH
2175,Meesenburg Großhandel KG
2636,SSL Energie GmbH
1768,EMB Energie Mark Brandenburg GmbH
767,Energie- und Wasserversorgung Bünde GmbH
246,Schubert Motors GmbH
287,Stadtwerke Schüttorf - Emsbüren GmbH
2119,Stadtwerke Wedel GmbH
4039,Gemeinde Ostseebad Binz Der Bürgermeister Eigenberieb Kurverwaltung
1403,Elektrizitätswerk Wennenmühle Schörger KG
128,Energieversorgung Rodau GmbH
1872,Hertener Stadtwerke GmbH
1715,Energieversorgung Selb-Marktredwitz GmbH
688,Überlandwerk Erding GmbH & Co. KG
3002,Autoreparatur Schöne
2253,Stadtwerke Bielefeld GmbH
3621,TauberEnergie Kuhn Karl und Andreas Kuhn OHG
2278,ewag kamenz Energie und Wasserversorgung AG Kamenz
3333,IPB GmbH & Co KG
539,Energieversorgung Südbaar GmbH & Co. KG
1442,Easy Energiedienste Sonnenkraft Freising GmbH
1871,Dietz Tankstellen GmbH & Co. KG
4407,Franz Maul Einzelunternehmen
1304,Auto Weiss GmbH & Co. KG
2948,Simmel AG
490,Autohaus Walter Mulfinger GmbH
181,Stadtwerke Waren GmbH
1325,HEG Energie GmbH & Co. KG
89,EDEKA Matthias Kaiser
3164,EDEKA Markt Kai Göbel
2791,Stadtwerke Oranienburg GmbH
1941,GSW Gemeinschaftsstadtwerke GmbH Kamen Bönen Bergkamen
895,Flughafen Stuttgart GmbH
3389,Elektrizitätsversorgung Werther GmbH
3472,EFA Tankstellenbetriebe und Mineralölhandel GmbH
359,Nienburg Energie GmbH
2077,Stadtwerke Staßfurt GmbH
1529,Hotel Terrassenhof GmbH
3398,Vorderwülbecke GmbH
2034,Hotel Anhalt GmbH
1651,Stadtwerke Roth
3791,Schneider Hotel & Brauereigasthof KG
3559,Stadtwerke Mühlacker GmbH
1656,Stadtwerke Pfarrkirchen - Eigenbetrieb
3493,Zentrum Bayern Familie und Soziales
1964,DuSolaris Einzelpersonengesellschaft
167,HTL Betriebsgelände
1820,prize Deutschland GmbH
3300,Stadtwerke Neuenhaus GmbH
2375,Hans Brandenburg GmbH
2014,B.A.U.M. Consult GmbH
822,Mark-E AG
1593,Amt für Ernährung Landwirtschaft und Forsten Roth
4055,Auto Marhenke GmbH u. Co KG
1912,Geiststr/Ostwall
3526,Elektro-Breitling GmbH
130,Stadtwerke Langen GmbH
752,Gemeinde Herzebrock-Clarholz
1509,Überlandzentrale Wörth/Isar Altheim Netz AG
1110,Stadtwerke Solingen GmbH
3890,Hotel Falkenstein GmbH&Co.KG
3056,Stadtwerke Gotha GmbH
2736,Jakob Wochinger & Sohn GmbH
1115,netzkern AG
4359,Berg Brauerei Ulrich Zimmermann GmbH & Co.KG
3258,Fürstenhof Hotel Gesellschaft mbH
600,Autohaus Heermann und Rhein GmbH
1247,Landgasthof Paulus & Der Laden
337,EVI Energieversorgung GmbH & Co. KG
4151,Die Energieagenten Versorgungs-GmbH
1151,Klaus Scheller GmbH
3702,Boomers GmbH & Co. KG
4676,Andreas Diekmann e.K.
549,Stadtwerke Tübingen GmbH
4356,Leonardo Hotel Munich City East
776,Hochsauerlandenergie GmbH
632,Leonardo Hotel Munich Ulm
1880,EDEKA Honsel - Ralf Honsel KG
357,David Communication e.K.
1253,Chemnitzer Siedlungsgemeinschaft eG
2819,Gemeinde Niederer Fläming
2709,Rhön-Park-Hotel GmbH & Co. KG
650,Stadtwerke Bamberg
4401,ALB FILS KLINIKEN GmbH
41,BürgerEnergieRheinMain eG
964,Stadtwerke Radolfzell GmbH
1780,DKB Stiftung Liebenberg Gemeinnützige GmbH
514,Stadtwerke Sinsheim Versorgungs GmbH & Co. KG
1615,Therme I Betriebsgesellschaft GmbH
241,Volkswagen AG - Werk Wolfsburg
1462,Huber Haustechnik GmbH
70,Volkswagen AG Zweigniederlassung Werk Kassel
3309,Landstrom GmbH & Co. KG
3807,Schneider Beteiligungs mbH
1533,Wirl Rental GmbH
1850,BIGGE ENERGIE GmbH & Co. KG
1407,EBERwerk GmbH & Co. KG
21,Marotech GmbH
33,Oberhessische Versorgungsbetriebe AG
3744,KFZ Langwieder (Einzelfirma)
2855,RTB GmbH & Co.KG
2958,IHK Mittleres Ruhrgebiet
1315,Förster Kunststofftechnik GmbH
1071,Bocholter Energie- und Wasserversorgung GmbH
2201,RP Automobile GmbH
363,Energy Consulting Mai
1439,Bürger-Energie Genossenschaft Freisinger Land eG
159,Stadtwerke Bad Nauheim GmbH
994,Tauber-Solar Holding GmbH
1162,OIE AG
